gender,age,education_level,income,employment_status,city,credit_score,experience_years,loan_amount,hired,loan_approved
Male,38,Masters,72136.0,Unemployed,Star City,507.0,17,84275,Yes,No
Female,26,Masters,123699.0,Employed,Gotham,540.0,10,15976,Yes,Yes
Female,30,Bachelors,118456.0,Employed,Star City,387.0,4,62449,No,No
Male,54,Bachelors,113086.0,Employed,Gotham,698.0,32,14368,Yes,Yes
Female,57,Masters,197415.0,Employed,Central City,561.0,27,13023,Yes,Yes
Male,57,Bachelors,147529.0,Unemployed,Star City,624.0,38,84511,No,No
Female,39,Bachelors,48254.0,Employed,Star City,670.0,25,71891,Yes,Yes
Female,30,PhD,91273.0,Self-Employed,Gotham,404.0,10,57664,No,Yes
Male,50,Masters,147574.0,Employed,Metropolis,397.0,33,60680,Yes,Yes
Male,35,PhD,144847.0,Employed,Gotham,786.0,17,59245,Yes,Yes
Male,46,Bachelors,135547.0,Self-Employed,Gotham,395.0,21,19522,Yes,Yes
Male,36,Masters,42926.0,Employed,Gotham,771.0,15,52721,Yes,No
Female,27,Bachelors,119527.0,Self-Employed,Metropolis,345.0,6,49428,Yes,No
Male,50,Bachelors,137387.0,Employed,Gotham,330.0,23,24176,Yes,No
Male,36,Bachelors,57563.0,Self-Employed,Gotham,707.0,19,96969,Yes,Yes
Female,50,Bachelors,191760.0,Employed,Gotham,674.0,25,94141,No,Yes
Female,25,Bachelors,195202.0,Employed,Metropolis,681.0,2,29126,Yes,Yes
Male,39,Bachelors,30925.0,Employed,Gotham,788.0,15,11096,No,Yes
Male,37,High School,81595.0,Employed,Metropolis,608.0,15,39840,Yes,No
Male,32,Masters,160249.0,Employed,Star City,434.0,21,64155,No,No
Male,35,Bachelors,46321.0,Employed,Gotham,627.0,10,56743,Yes,No
Female,24,High School,171841.0,Employed,Metropolis,498.0,0,28487,Yes,Yes
Male,59,Bachelors,,Employed,Metropolis,559.0,37,80265,Yes,Yes
Female,39,Bachelors,46151.0,Employed,Gotham,,13,90765,No,No
Male,41,Masters,106133.0,Employed,Metropolis,681.0,17,95582,Yes,Yes
Female,46,High School,64187.0,Employed,Central City,806.0,26,59277,No,No
Female,59,Masters,73835.0,Employed,Gotham,408.0,32,74086,Yes,No
Female,34,High School,30059.0,Employed,Metropolis,340.0,10,41185,Yes,No
Male,25,Bachelors,57235.0,Employed,Gotham,744.0,4,57893,Yes,Yes
Male,35,Masters,124208.0,Employed,Metropolis,445.0,9,32381,Yes,Yes
Male,54,Masters,97114.0,Self-Employed,Star City,475.0,31,58555,No,No
Female,49,High School,159191.0,Employed,Metropolis,578.0,28,64826,No,Yes
Female,58,Masters,,Employed,Central City,679.0,35,79710,Yes,Yes
Female,29,Bachelors,151889.0,Employed,Gotham,464.0,7,21764,Yes,No
Female,55,Masters,111583.0,Employed,Star City,785.0,34,68132,No,Yes
Female,26,Masters,62160.0,Self-Employed,Metropolis,660.0,1,31882,No,No
Male,26,Masters,129011.0,Self-Employed,Metropolis,472.0,0,49175,Yes,Yes
Female,52,PhD,35277.0,Employed,Star City,476.0,25,45120,No,Yes
Male,30,Bachelors,162852.0,Employed,Gotham,348.0,3,16883,No,No
Male,53,Masters,147101.0,Employed,Metropolis,410.0,35,79756,Yes,Yes
Male,54,Bachelors,90750.0,Employed,Metropolis,509.0,25,38293,No,Yes
Male,24,High School,86902.0,Self-Employed,Metropolis,454.0,4,34656,Yes,No
Male,51,High School,146849.0,Employed,Gotham,572.0,26,52604,No,No
Female,33,Bachelors,127052.0,Employed,Metropolis,754.0,15,75710,No,Yes
Male,50,Masters,,Employed,Metropolis,615.0,26,51307,No,Yes
Female,24,Bachelors,193233.0,Employed,Metropolis,514.0,2,20104,No,Yes
Male,47,Bachelors,192958.0,Employed,Gotham,629.0,27,35966,No,Yes
Male,51,High School,169872.0,Self-Employed,Metropolis,443.0,34,60710,Yes,Yes
Male,30,Bachelors,79460.0,Employed,Central City,653.0,5,27822,Yes,Yes
Male,47,PhD,159424.0,Self-Employed,Metropolis,580.0,22,12925,No,No
Female,23,Bachelors,100975.0,Employed,Central City,621.0,3,82522,No,Yes
Male,24,Masters,163436.0,Employed,Gotham,605.0,0,14819,Yes,Yes
Female,25,Masters,46568.0,Employed,Metropolis,778.0,0,15371,Yes,Yes
Male,46,Masters,199164.0,Employed,Metropolis,689.0,25,80239,Yes,Yes
Female,34,Bachelors,92679.0,Self-Employed,Gotham,363.0,14,21984,Yes,No
Female,56,Masters,95781.0,Employed,Gotham,564.0,35,98632,No,No
Female,44,Bachelors,,Employed,Gotham,305.0,21,98297,Yes,No
Male,30,Masters,68692.0,Employed,Metropolis,467.0,5,92277,Yes,Yes
Male,23,Bachelors,60086.0,Employed,Central City,654.0,7,95317,Yes,No
Male,52,Bachelors,79671.0,Employed,Central City,472.0,36,19280,Yes,No
Female,23,High School,174973.0,Employed,Gotham,418.0,1,10292,Yes,Yes
Male,53,Masters,33907.0,Employed,Gotham,,28,80979,No,Yes
Male,39,Bachelors,58604.0,Employed,Gotham,473.0,12,19182,Yes,No
Female,34,Bachelors,67869.0,Employed,Metropolis,428.0,13,54362,No,Yes
Male,26,Bachelors,175609.0,Employed,Metropolis,486.0,0,12576,Yes,No
Female,31,PhD,173573.0,Employed,Gotham,362.0,4,10819,Yes,No
Male,46,Masters,149261.0,Employed,Star City,573.0,22,54450,Yes,Yes
Male,55,Bachelors,198443.0,Employed,Metropolis,509.0,35,96145,Yes,Yes
Female,58,Masters,144639.0,Employed,Gotham,492.0,40,73399,Yes,No
Male,51,Bachelors,141690.0,Employed,Star City,831.0,30,62772,No,Yes
Female,28,Bachelors,197893.0,Employed,Metropolis,481.0,7,34313,No,Yes
Male,27,PhD,155592.0,Employed,Metropolis,527.0,8,82248,No,Yes
Male,24,Bachelors,36073.0,Employed,Star City,388.0,5,24857,Yes,No
Female,34,Bachelors,48101.0,Employed,Metropolis,443.0,9,37083,No,No
Female,24,Bachelors,192498.0,Employed,Metropolis,549.0,5,96608,No,Yes
Female,47,Bachelors,124877.0,Employed,Metropolis,524.0,29,37565,No,Yes
Male,45,Bachelors,37313.0,Self-Employed,Metropolis,467.0,24,15751,Yes,Yes
Female,27,Bachelors,191845.0,Employed,Star City,409.0,5,39285,No,Yes
Male,33,Bachelors,189075.0,Self-Employed,Gotham,472.0,13,81150,Yes,Yes
Male,57,Bachelors,89668.0,Employed,Gotham,810.0,36,47402,Yes,Yes
Female,23,Bachelors,121956.0,Employed,Gotham,596.0,0,96276,No,Yes
Male,32,Bachelors,145087.0,Employed,Central City,542.0,11,95564,Yes,No
Female,55,High School,149451.0,Employed,Metropolis,508.0,37,13207,Yes,Yes
Male,47,Masters,122675.0,Employed,Metropolis,542.0,28,12656,Yes,Yes
Male,39,Bachelors,121634.0,Employed,Central City,553.0,18,27634,Yes,Yes
Male,42,Masters,174654.0,Self-Employed,Central City,381.0,20,52772,No,No
Female,57,Masters,139119.0,Employed,Metropolis,733.0,33,36418,No,Yes
Female,43,Masters,174832.0,Self-Employed,Metropolis,774.0,20,89694,Yes,Yes
Female,51,Bachelors,101791.0,Employed,Gotham,842.0,31,90632,Yes,Yes
Female,51,Bachelors,112158.0,Employed,Metropolis,303.0,30,94793,No,Yes
Female,29,Bachelors,197055.0,Employed,Gotham,493.0,10,42720,Yes,No
Female,55,Masters,59715.0,Employed,Metropolis,355.0,30,47907,Yes,No
Male,30,Bachelors,197487.0,Employed,Metropolis,560.0,12,82103,Yes,Yes
Male,41,Masters,118260.0,Self-Employed,Gotham,679.0,16,13460,Yes,No
Male,46,Masters,164724.0,Employed,Central City,786.0,24,70041,Yes,Yes
Female,40,Bachelors,56297.0,Employed,Gotham,395.0,15,45282,No,No
Female,26,Bachelors,175100.0,Employed,Metropolis,635.0,3,47052,Yes,Yes
Male,32,Masters,174875.0,Employed,Central City,628.0,18,40312,Yes,Yes
Female,36,Bachelors,,Employed,Gotham,795.0,16,15504,No,No
Female,29,High School,,Employed,Metropolis,818.0,7,97982,Yes,Yes
Male,40,Masters,88616.0,Employed,Metropolis,424.0,23,95089,Yes,Yes
Female,44,Bachelors,192646.0,Employed,Metropolis,559.0,11,27048,No,Yes
Female,48,PhD,149828.0,Employed,Gotham,849.0,25,97257,Yes,Yes
Male,53,Masters,176004.0,Employed,Gotham,307.0,29,74783,No,Yes
Female,47,Masters,176821.0,Employed,Metropolis,672.0,21,39100,Yes,Yes
Male,48,Bachelors,38727.0,Employed,Metropolis,521.0,19,90447,Yes,No
Female,40,Bachelors,,Employed,Metropolis,830.0,17,12632,No,Yes
Female,50,Bachelors,171906.0,Unemployed,Gotham,649.0,30,58699,Yes,Yes
Female,54,Bachelors,181397.0,Self-Employed,Metropolis,330.0,31,78601,No,Yes
Male,40,Bachelors,170285.0,Employed,Metropolis,657.0,21,56046,Yes,No
Female,58,Bachelors,143741.0,Unemployed,Central City,321.0,36,37694,No,No
Female,40,Bachelors,162475.0,Employed,Gotham,588.0,22,27343,Yes,Yes
Male,54,Bachelors,86971.0,Employed,Metropolis,513.0,29,25406,No,Yes
Female,37,Masters,103042.0,Employed,Gotham,464.0,7,44775,No,Yes
Male,44,Bachelors,125195.0,Self-Employed,Metropolis,439.0,15,72240,Yes,No
Female,28,High School,168663.0,Employed,Star City,669.0,4,43489,Yes,Yes
Male,47,Masters,157144.0,Self-Employed,Star City,619.0,21,83236,Yes,Yes
Male,53,PhD,42996.0,Self-Employed,Gotham,708.0,28,99438,No,Yes
Male,33,Bachelors,,Employed,Star City,737.0,15,90190,Yes,Yes
Female,29,Bachelors,77830.0,Employed,Metropolis,312.0,0,44022,No,Yes
Male,26,Bachelors,,Employed,Star City,800.0,10,77881,No,Yes
Female,49,PhD,87572.0,Employed,Metropolis,325.0,23,44429,No,No
Male,26,Masters,59098.0,Employed,Metropolis,833.0,0,23170,No,Yes
Male,47,Masters,32196.0,Employed,Central City,375.0,24,80954,Yes,Yes
Male,26,Bachelors,172163.0,Employed,Gotham,665.0,9,27475,Yes,Yes
Female,43,Bachelors,79262.0,Employed,Central City,790.0,18,37296,No,Yes
Male,36,High School,167095.0,Employed,Metropolis,391.0,11,32123,No,Yes
Female,34,Masters,50543.0,Employed,Gotham,565.0,9,16960,No,Yes
Female,49,Masters,132171.0,Employed,Metropolis,798.0,31,58723,Yes,Yes
Female,54,PhD,100540.0,Employed,Gotham,469.0,30,68408,Yes,Yes
Male,44,Bachelors,171035.0,Employed,Metropolis,645.0,23,44339,Yes,Yes
Male,54,High School,174868.0,Self-Employed,Metropolis,527.0,32,45783,No,Yes
Female,39,Bachelors,70972.0,Employed,Metropolis,502.0,16,82542,No,No
Male,51,Masters,102613.0,Employed,Star City,745.0,27,29830,Yes,Yes
Female,47,Masters,125384.0,Self-Employed,Metropolis,817.0,32,93349,Yes,Yes
Male,37,Bachelors,108062.0,Employed,Star City,431.0,26,91129,Yes,No
Female,34,Bachelors,33261.0,Employed,Metropolis,544.0,8,89355,No,No
Female,54,Bachelors,47046.0,Employed,Metropolis,390.0,27,26625,No,No
Female,47,Bachelors,43397.0,Self-Employed,Metropolis,425.0,25,93987,Yes,No
Male,22,Masters,120805.0,Self-Employed,Central City,771.0,0,50106,Yes,Yes
Female,59,Bachelors,55757.0,Employed,Metropolis,541.0,37,25575,No,No
Male,23,Masters,176371.0,Employed,Metropolis,801.0,9,53848,Yes,Yes
Male,27,Bachelors,162974.0,Self-Employed,Star City,686.0,2,82423,No,Yes
Female,59,Masters,148859.0,Employed,Metropolis,306.0,40,47903,No,No
Female,45,Bachelors,72399.0,Employed,Star City,387.0,28,99370,Yes,Yes
Female,39,Masters,78330.0,Employed,Metropolis,444.0,13,87988,Yes,Yes
Female,48,Bachelors,164918.0,Employed,Gotham,750.0,26,80913,No,Yes
Male,29,Bachelors,173431.0,Employed,Metropolis,630.0,8,45168,Yes,Yes
Male,49,Bachelors,98056.0,Employed,Gotham,463.0,29,95078,Yes,No
Female,31,Bachelors,70832.0,Employed,Star City,641.0,12,53878,No,Yes
Male,38,Bachelors,181170.0,Employed,Star City,300.0,20,89792,Yes,Yes
Male,50,Bachelors,147095.0,Employed,Gotham,419.0,24,83501,Yes,No
Male,27,PhD,134987.0,Employed,Central City,763.0,5,16902,Yes,Yes
Male,35,Bachelors,118672.0,Employed,Metropolis,761.0,18,92797,No,Yes
Male,43,Masters,65885.0,Employed,Metropolis,348.0,27,90624,No,No
Male,27,PhD,51157.0,Self-Employed,Gotham,626.0,5,82545,Yes,Yes
Male,47,High School,49674.0,Employed,Gotham,773.0,22,29464,Yes,Yes
Male,33,Masters,62357.0,Employed,Metropolis,667.0,15,13534,Yes,Yes
Female,56,Bachelors,42578.0,Employed,Gotham,586.0,36,87335,No,No
Male,35,High School,158457.0,Employed,Metropolis,323.0,15,17791,No,Yes
Male,43,Bachelors,163323.0,Employed,Star City,592.0,24,19512,Yes,Yes
Female,44,PhD,198501.0,Employed,Star City,,18,31720,Yes,Yes
Male,28,High School,186571.0,Employed,Gotham,362.0,9,24563,Yes,Yes
Female,46,Bachelors,167493.0,Unemployed,Metropolis,757.0,24,62255,No,Yes
Female,34,Bachelors,185663.0,Employed,Gotham,829.0,16,94756,Yes,Yes
Male,42,Masters,133229.0,Employed,Star City,712.0,20,72694,Yes,Yes
Male,31,High School,173274.0,Employed,Metropolis,559.0,11,94037,No,Yes
Female,30,Masters,153981.0,Employed,Gotham,483.0,9,52094,No,Yes
Female,36,Masters,180362.0,Employed,Central City,347.0,11,70504,No,No
Male,23,Masters,179202.0,Employed,Metropolis,446.0,0,40622,Yes,No
Female,46,PhD,67077.0,Employed,Metropolis,708.0,27,78253,Yes,Yes
Male,34,Masters,145136.0,Employed,Metropolis,739.0,8,32798,Yes,Yes
Female,55,High School,180468.0,Employed,Gotham,757.0,31,99361,Yes,Yes
Male,55,Bachelors,90530.0,Employed,Central City,528.0,31,37167,No,No
Female,56,Bachelors,148179.0,Self-Employed,Gotham,583.0,35,57373,Yes,No
Female,59,Bachelors,57122.0,Employed,Metropolis,644.0,39,18381,Yes,No
Female,24,Bachelors,59381.0,Employed,Gotham,563.0,0,20961,Yes,Yes
Male,27,Bachelors,135614.0,Employed,Gotham,677.0,2,24349,Yes,Yes
Male,40,Bachelors,184339.0,Unemployed,Gotham,402.0,14,95845,Yes,No
Male,24,PhD,143271.0,Self-Employed,Metropolis,322.0,1,27871,Yes,Yes
Male,39,High School,168160.0,Employed,Gotham,592.0,9,35143,Yes,Yes
Male,30,PhD,127354.0,Self-Employed,Gotham,566.0,12,30207,No,Yes
Female,33,Bachelors,157728.0,Employed,Metropolis,828.0,11,73412,Yes,Yes
Male,26,Masters,42822.0,Unemployed,Gotham,775.0,3,79040,Yes,Yes
Male,24,Masters,197661.0,Employed,Central City,750.0,5,12622,Yes,Yes
Female,32,Bachelors,162508.0,Employed,Metropolis,584.0,12,39477,Yes,No
Female,51,Bachelors,141201.0,Employed,Central City,612.0,31,10913,No,Yes
Female,25,Bachelors,57281.0,Employed,Metropolis,461.0,2,73766,No,No
Female,26,Bachelors,118017.0,Employed,Star City,421.0,4,23055,No,No
Male,22,PhD,126005.0,Employed,Metropolis,780.0,3,67391,No,Yes
Male,48,Masters,114403.0,Employed,Metropolis,411.0,28,31585,No,No
Female,49,Bachelors,136023.0,Employed,Gotham,538.0,33,37309,Yes,No
Female,50,Bachelors,52766.0,Employed,Gotham,509.0,28,20864,Yes,No
Male,39,Bachelors,182285.0,Self-Employed,Star City,648.0,19,31781,Yes,Yes
Female,33,High School,123891.0,Self-Employed,Gotham,810.0,10,88133,Yes,Yes
Male,34,Masters,,Unemployed,Gotham,301.0,13,10541,Yes,No
Male,23,Bachelors,183609.0,Employed,Central City,760.0,2,41983,Yes,Yes
Male,58,Bachelors,163866.0,Employed,Gotham,781.0,34,19398,No,Yes
Female,37,High School,193396.0,Employed,Metropolis,540.0,12,34759,No,No
Female,45,Bachelors,86764.0,Employed,Metropolis,353.0,25,99641,Yes,Yes
Male,56,Masters,60858.0,Employed,Metropolis,766.0,35,71353,No,Yes
Female,43,Bachelors,72850.0,Employed,Star City,408.0,26,69325,Yes,No
Male,57,PhD,174090.0,Self-Employed,Metropolis,579.0,35,65761,No,Yes
Male,32,Masters,157171.0,Employed,Metropolis,356.0,6,31118,Yes,Yes
Female,50,Bachelors,113017.0,Self-Employed,Metropolis,513.0,28,89284,No,No
Female,56,High School,80790.0,Employed,Gotham,807.0,37,96609,Yes,Yes
Female,36,Masters,,Employed,Metropolis,327.0,5,89668,Yes,Yes
Female,52,PhD,39850.0,Employed,Metropolis,503.0,29,86479,No,Yes
Female,37,Masters,136759.0,Employed,Gotham,844.0,17,30480,No,Yes
Female,31,Bachelors,95696.0,Unemployed,Star City,608.0,9,49919,No,No
Male,53,PhD,186904.0,Employed,Metropolis,827.0,29,41081,Yes,Yes
Male,23,Bachelors,117826.0,Employed,Gotham,642.0,0,46548,Yes,Yes
Male,45,Masters,185958.0,Employed,Metropolis,517.0,22,84010,Yes,No
Male,44,PhD,169490.0,Employed,Central City,386.0,17,91791,Yes,Yes
Female,23,Bachelors,153152.0,Employed,Metropolis,330.0,3,40888,Yes,No
Male,59,PhD,37081.0,Employed,Central City,399.0,37,41608,Yes,No
Male,52,Bachelors,132716.0,Employed,Central City,614.0,35,19401,Yes,No
Male,47,PhD,171186.0,Employed,Star City,794.0,17,65417,Yes,Yes
Female,50,Bachelors,48722.0,Employed,Metropolis,770.0,26,75976,No,Yes
Male,24,PhD,117508.0,Self-Employed,Gotham,814.0,4,62959,Yes,Yes
Female,35,High School,159752.0,Employed,Metropolis,630.0,17,55694,No,Yes
Male,46,Masters,47985.0,Employed,Star City,493.0,27,42421,No,No
Male,22,Bachelors,166960.0,Employed,Star City,490.0,0,59625,No,Yes
Female,24,Bachelors,150234.0,Employed,Central City,551.0,0,29163,No,Yes
Female,47,Bachelors,113845.0,Employed,Gotham,300.0,16,15036,Yes,No
Male,39,Masters,153446.0,Employed,Gotham,758.0,17,58918,No,Yes
Female,30,Bachelors,180371.0,Self-Employed,Gotham,389.0,12,75521,No,Yes
Female,59,Bachelors,136747.0,Employed,Metropolis,817.0,37,30726,No,Yes
Male,44,Bachelors,,Employed,Gotham,782.0,24,88011,Yes,Yes
Female,42,PhD,59346.0,Employed,Gotham,415.0,22,87083,Yes,No
Female,22,High School,143507.0,Employed,Central City,372.0,0,35132,No,Yes
Female,42,Bachelors,144673.0,Employed,Gotham,455.0,10,48011,No,Yes
Female,48,Bachelors,,Employed,Star City,368.0,31,98953,No,No
Female,27,Bachelors,135578.0,Employed,Star City,770.0,6,54437,No,Yes
Female,57,Bachelors,47986.0,Employed,Gotham,791.0,29,40032,No,Yes
Female,49,Bachelors,188918.0,Self-Employed,Metropolis,599.0,28,47822,Yes,Yes
Female,38,Masters,79665.0,Employed,Gotham,,16,70574,No,No
Female,24,Masters,143408.0,Self-Employed,Gotham,505.0,7,66909,Yes,No
Female,33,Bachelors,103728.0,Unemployed,Metropolis,706.0,12,52786,Yes,Yes
Female,33,High School,80054.0,Self-Employed,Metropolis,596.0,12,69542,Yes,Yes
Male,23,Masters,199559.0,Employed,Central City,828.0,1,37932,No,Yes
Female,43,Bachelors,170484.0,Self-Employed,Metropolis,436.0,17,65446,Yes,No
Female,44,Masters,111499.0,Employed,Gotham,518.0,24,63371,No,No
Male,51,Bachelors,,Employed,Star City,817.0,28,34570,No,Yes
Female,26,Bachelors,96553.0,Employed,Gotham,747.0,0,71155,No,Yes
Male,30,Bachelors,35279.0,Employed,Gotham,431.0,5,16415,Yes,No
Male,42,Masters,37712.0,Unemployed,Star City,662.0,15,48227,Yes,No
Female,32,Bachelors,45817.0,Employed,Gotham,643.0,14,72098,Yes,No
Male,26,Bachelors,123616.0,Employed,Metropolis,,11,61807,Yes,No
Female,56,Bachelors,167696.0,Employed,Central City,715.0,38,13518,Yes,No
Female,48,Masters,190198.0,Unemployed,Gotham,840.0,27,31460,No,Yes
Male,23,PhD,110667.0,Employed,Gotham,,0,52440,Yes,No
Male,45,Bachelors,198534.0,Employed,Gotham,631.0,21,74042,Yes,Yes
Male,52,Bachelors,56093.0,Employed,Metropolis,618.0,26,69922,No,Yes
Female,54,PhD,141030.0,Employed,Central City,498.0,39,74624,Yes,Yes
Female,51,Bachelors,147385.0,Employed,Star City,,24,75400,Yes,Yes
Female,58,Bachelors,193597.0,Employed,Metropolis,309.0,32,39396,Yes,No
Male,49,Bachelors,59030.0,Self-Employed,Central City,438.0,26,68897,Yes,No
Female,52,Masters,74067.0,Employed,Star City,466.0,29,89935,No,Yes
Male,32,Bachelors,166279.0,Employed,Gotham,446.0,12,89240,Yes,Yes
Female,44,Masters,106433.0,Employed,Gotham,702.0,19,11698,Yes,No
Male,23,Bachelors,56639.0,Unemployed,Metropolis,744.0,0,95490,No,Yes
Female,48,High School,163864.0,Unemployed,Gotham,369.0,25,55573,No,No
Male,56,Masters,30420.0,Employed,Metropolis,627.0,33,46194,Yes,Yes
Female,23,Bachelors,49198.0,Unemployed,Gotham,528.0,0,54664,No,No
Male,58,Bachelors,196680.0,Employed,Gotham,618.0,34,21416,No,Yes
Female,42,Masters,112951.0,Employed,Star City,335.0,18,55384,No,Yes
Female,26,Masters,47875.0,Employed,Star City,554.0,0,31169,Yes,Yes
Male,42,Masters,100511.0,Employed,Metropolis,612.0,25,80110,Yes,Yes
Female,50,PhD,121997.0,Employed,Star City,634.0,33,57678,No,Yes
Female,41,Masters,51331.0,Employed,Gotham,319.0,24,22699,Yes,No
Male,59,High School,46893.0,Self-Employed,Gotham,597.0,32,27665,Yes,Yes
Male,41,Bachelors,48243.0,Employed,Metropolis,320.0,20,91472,No,Yes
Female,46,Masters,45535.0,Employed,Star City,777.0,22,92426,No,Yes
Male,23,Bachelors,97394.0,Employed,Central City,771.0,0,56999,Yes,Yes
Female,53,Masters,186561.0,Employed,Star City,769.0,27,27341,Yes,Yes
Male,47,Masters,109214.0,Unemployed,Central City,648.0,35,49205,No,No
Female,27,Bachelors,150295.0,Employed,Metropolis,685.0,4,59914,No,Yes
Male,24,PhD,130369.0,Unemployed,Star City,845.0,0,81132,Yes,Yes
Female,54,Bachelors,142695.0,Employed,Gotham,745.0,32,15949,No,Yes
Female,22,Bachelors,43346.0,Employed,Metropolis,398.0,3,56784,Yes,No
Female,26,PhD,167845.0,Employed,Gotham,354.0,3,16621,Yes,Yes
Female,34,Bachelors,152580.0,Employed,Gotham,302.0,12,71037,Yes,Yes
Male,40,Bachelors,105324.0,Employed,Metropolis,631.0,22,69103,Yes,No
Female,33,Bachelors,193415.0,Employed,Metropolis,734.0,7,78425,No,Yes
Male,46,Masters,132746.0,Employed,Metropolis,785.0,24,50545,Yes,Yes
Male,56,Masters,104783.0,Employed,Metropolis,518.0,31,93262,Yes,Yes
Male,33,Masters,197044.0,Employed,Metropolis,510.0,7,15514,Yes,Yes
Male,51,Masters,46959.0,Employed,Metropolis,795.0,36,49983,Yes,Yes
Female,26,Bachelors,119343.0,Employed,Metropolis,531.0,3,38656,No,Yes
Female,55,Masters,195205.0,Employed,Central City,447.0,28,85364,No,No
Male,43,Masters,81150.0,Employed,Star City,506.0,20,98538,Yes,No
Male,34,Bachelors,51734.0,Employed,Metropolis,659.0,7,25281,Yes,Yes
Female,24,Bachelors,47400.0,Self-Employed,Central City,718.0,1,41471,Yes,Yes
Male,41,PhD,181074.0,Self-Employed,Gotham,716.0,16,17753,Yes,Yes
Male,52,Masters,128329.0,Employed,Gotham,481.0,32,18741,Yes,No
Male,26,Masters,154438.0,Employed,Gotham,509.0,11,77541,Yes,Yes
Female,45,Masters,197564.0,Employed,Gotham,549.0,22,61335,Yes,No
Female,54,Bachelors,127753.0,Employed,Metropolis,811.0,29,37141,No,Yes
Male,29,Masters,138863.0,Unemployed,Metropolis,438.0,7,59475,Yes,Yes
Male,45,Bachelors,191947.0,Unemployed,Gotham,530.0,28,82900,Yes,Yes
Female,41,High School,186118.0,Self-Employed,Gotham,311.0,21,20117,No,No
Female,37,Masters,184736.0,Employed,Star City,572.0,14,11823,Yes,Yes
Male,33,Bachelors,185525.0,Unemployed,Metropolis,787.0,2,30005,Yes,No
Female,34,Masters,34746.0,Employed,Star City,389.0,11,11138,No,No
Male,46,Bachelors,153765.0,Self-Employed,Gotham,324.0,27,44488,No,No
Male,53,Bachelors,174289.0,Employed,Central City,837.0,34,59875,Yes,Yes
Female,45,Bachelors,93184.0,Employed,Metropolis,359.0,28,33015,No,No
Male,30,Bachelors,118898.0,Employed,Central City,470.0,5,12412,Yes,No
Female,44,Bachelors,71835.0,Employed,Star City,746.0,20,89331,Yes,No
Male,34,Bachelors,39133.0,Employed,Gotham,309.0,11,23119,Yes,No
Male,53,PhD,131345.0,Self-Employed,Gotham,542.0,33,21573,Yes,No
Female,36,Bachelors,70533.0,Employed,Metropolis,477.0,12,85021,No,Yes
Male,57,Bachelors,,Employed,Central City,556.0,37,36943,Yes,No
Female,26,Bachelors,194411.0,Employed,Metropolis,609.0,2,14017,No,Yes
Male,43,Masters,58725.0,Employed,Gotham,815.0,18,47038,No,Yes
Male,37,Bachelors,157240.0,Unemployed,Metropolis,514.0,19,73285,No,No
Male,31,Masters,31236.0,Employed,Gotham,329.0,10,99106,Yes,No
Female,45,Masters,97916.0,Employed,Gotham,645.0,25,61110,No,Yes
Male,39,Bachelors,135481.0,Self-Employed,Central City,364.0,16,38797,Yes,No
Female,39,Bachelors,158357.0,Self-Employed,Gotham,452.0,20,19186,No,Yes
Male,28,PhD,44538.0,Employed,Central City,339.0,1,32781,Yes,No
Female,25,Masters,173043.0,Employed,Gotham,325.0,0,37552,Yes,No
Male,47,Masters,129821.0,Employed,Metropolis,572.0,28,16910,Yes,Yes
Female,26,High School,68655.0,Employed,Metropolis,458.0,3,13871,No,Yes
Female,37,Bachelors,90784.0,Employed,Star City,300.0,14,24627,Yes,No
Female,56,Bachelors,152547.0,Unemployed,Metropolis,378.0,30,95143,No,No
Female,47,Bachelors,148177.0,Employed,Gotham,527.0,28,38586,Yes,Yes
Female,39,Bachelors,198482.0,Employed,Metropolis,626.0,24,55254,Yes,Yes
Female,50,Masters,120982.0,Employed,Gotham,800.0,30,84950,Yes,Yes
Male,44,Bachelors,182775.0,Employed,Star City,774.0,20,72126,Yes,Yes
Male,35,Masters,74191.0,Self-Employed,Gotham,654.0,18,64029,No,Yes
Female,36,Masters,84112.0,Employed,Metropolis,423.0,15,54211,No,Yes
Female,54,Bachelors,41399.0,Employed,Metropolis,723.0,30,57733,No,Yes
Female,46,Masters,134365.0,Employed,Metropolis,551.0,29,30300,No,Yes
Male,42,Bachelors,42685.0,Employed,Metropolis,813.0,19,83023,Yes,Yes
Male,38,Masters,117777.0,Unemployed,Gotham,806.0,10,44838,Yes,Yes
Male,44,Bachelors,34487.0,Employed,Gotham,785.0,20,18828,No,Yes
Female,38,High School,42018.0,Employed,Metropolis,777.0,18,74837,No,Yes
Male,35,Masters,191897.0,Employed,Gotham,632.0,10,16842,No,Yes
Male,50,Bachelors,168822.0,Employed,Gotham,531.0,20,30059,Yes,No
Male,41,PhD,113220.0,Employed,Metropolis,841.0,24,41430,Yes,Yes
Male,51,Bachelors,73118.0,Employed,Gotham,329.0,40,94445,No,No
Female,40,Bachelors,89615.0,Self-Employed,Metropolis,472.0,16,39930,Yes,No
Male,34,Bachelors,109946.0,Employed,Gotham,767.0,9,78171,Yes,Yes
Female,39,Bachelors,151869.0,Employed,Star City,775.0,11,97692,No,Yes
Male,44,Bachelors,45105.0,Unemployed,Metropolis,616.0,18,33221,No,No
Male,54,Masters,179985.0,Self-Employed,Gotham,696.0,25,22406,Yes,Yes
Male,39,Masters,131564.0,Self-Employed,Gotham,424.0,11,10259,Yes,No
Male,30,Masters,,Unemployed,Metropolis,379.0,8,29380,Yes,No
